customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15594556,619.0,2,1,52.0,8.0,0.0,2,1,1,123242.11,0
15579994,616.0,1,1,23.0,8.0,73112.95,1,1,1,62733.05,0
15799358,516.0,1,2,46.0,6.0,62212.29,1,0,1,171681.86,1
15804104,494.0,1,1,28.0,9.0,114731.76,2,0,1,79479.74,0
15768163,655.0,3,2,46.0,7.0,137145.12,1,1,0,115146.4,1
15790717,695.0,2,1,35.0,7.0,0.0,2,1,0,160387.98,0
15663194,582.0,3,2,40.0,3.0,110150.43,1,1,1,191757.65,1
15656484,682.0,1,1,40.0,4.0,0.0,2,1,1,140745.91,0
15628123,632.0,1,2,28.0,5.0,118890.81,1,0,1,145157.97,0
15713370,657.0,2,1,36.0,8.0,188241.05,2,0,0,183058.51,1
15740476,659.0,3,2,32.0,3.0,150923.74,2,0,1,174652.51,0
15710105,581.0,3,2,26.0,3.0,105099.45,1,1,1,184520.0,1
15687626,527.0,1,1,39.0,4.0,0.0,2,1,0,167183.07,1
15757473,766.0,1,2,27.0,7.0,158786.67,2,0,1,47579.25,0
15658240,554.0,1,2,44.0,9.0,135814.7,2,0,0,115091.38,0
15606887,775.0,1,2,30.0,5.0,0.0,1,1,0,193880.6,1
15696826,633.0,1,2,32.0,1.0,104001.38,1,0,1,36642.65,0
15701160,556.0,3,2,43.0,4.0,125890.72,1,1,1,74854.97,0
15773421,673.0,1,2,42.0,4.0,0.0,2,1,0,121440.8,0
15605672,694.0,1,2,38.0,5.0,195926.39,1,1,1,85522.84,0
15698758,630.0,2,2,31.0,1.0,0.0,2,1,1,169802.73,0
15566295,761.0,1,2,33.0,6.0,138053.79,2,1,0,148779.41,0
15589431,807.0,3,1,47.0,1.0,171937.27,1,1,1,65636.92,0
15815443,527.0,2,2,46.0,10.0,131414.76,1,1,0,54947.51,0
15795228,756.0,1,1,37.0,3.0,132623.6,1,1,1,58974.0,0
15642093,646.0,1,1,30.0,7.0,0.0,2,1,0,153566.97,0
15604482,850.0,2,1,30.0,2.0,141040.01,1,1,1,5978.2,0
15711572,705.0,3,2,31.0,9.0,110941.93,2,1,0,163484.8,0
15793641,792.0,1,2,70.0,3.0,0.0,2,1,1,172240.27,0
15800482,586.0,2,2,33.0,7.0,0.0,2,1,1,168261.4,0
15624744,622.0,3,1,42.0,9.0,115766.26,1,0,0,72155.85,1
15799811,724.0,1,1,40.0,10.0,0.0,1,1,0,127847.25,1
15697034,583.0,2,2,22.0,2.0,0.0,2,0,1,5985.36,0
15640407,821.0,3,1,45.0,0.0,135827.33,2,1,1,131778.58,0
15731519,511.0,1,2,30.0,5.0,0.0,2,1,0,143994.86,0
15809462,656.0,1,1,30.0,3.0,0.0,2,0,1,17104.0,0
15584364,652.0,1,1,48.0,4.0,59486.31,1,1,0,163944.18,1
15679394,651.0,1,2,41.0,4.0,38617.2,1,1,1,104876.8,0
15600832,508.0,1,2,43.0,9.0,0.0,1,1,0,103726.71,0
15702806,696.0,2,1,24.0,9.0,0.0,1,0,0,10883.52,0
15678284,651.0,1,1,35.0,7.0,74623.5,3,1,0,129451.29,1
15783225,737.0,1,1,54.0,9.0,0.0,1,1,0,83470.4,1
15571550,699.0,1,1,39.0,9.0,0.0,1,1,0,80963.92,0
15663312,494.0,1,2,35.0,9.0,112727.06,2,1,0,183752.91,0
15781777,604.0,1,1,33.0,3.0,148659.48,1,0,0,42437.75,0
15615091,691.0,1,1,24.0,6.0,0.0,2,1,1,92811.2,0
15745716,706.0,2,1,53.0,7.0,0.0,2,0,1,117939.17,0
15747542,605.0,1,1,52.0,7.0,0.0,2,1,1,173952.5,0
15800890,554.0,1,2,45.0,6.0,0.0,2,1,1,181204.5,0
15600879,554.0,3,2,36.0,3.0,157780.93,2,1,0,6089.13,0
15622289,605.0,2,2,36.0,9.0,0.0,2,0,1,35521.63,0
15811742,553.0,2,1,42.0,7.0,0.0,2,1,0,7680.23,0
15569678,561.0,3,1,32.0,6.0,166824.59,1,1,0,139451.98,0
15701687,664.0,2,1,44.0,7.0,77526.66,3,0,0,57338.56,1
15814237,627.0,3,1,30.0,3.0,128770.88,2,1,1,40199.01,0
15732791,641.0,3,1,32.0,5.0,122947.92,1,1,1,99154.86,0
15720083,554.0,2,1,42.0,1.0,0.0,2,0,1,183492.9,0
15704657,601.0,1,1,39.0,3.0,72647.64,1,1,0,41777.9,1
15732266,553.0,3,1,53.0,5.0,127997.83,1,1,0,165378.66,1
15638003,648.0,2,1,55.0,1.0,81370.07,1,0,1,181534.04,0
15721307,694.0,3,1,37.0,1.0,95668.82,2,1,0,100335.55,0
15724623,704.0,3,2,24.0,7.0,113034.22,1,1,0,162503.48,1
15583480,807.0,1,2,36.0,4.0,0.0,2,0,1,147007.33,0
15683157,613.0,1,1,26.0,4.0,100446.57,1,0,1,149653.81,0
15730868,747.0,1,1,41.0,5.0,0.0,2,1,1,22750.17,0
15750765,650.0,2,1,71.0,0.0,0.0,1,1,1,175380.77,0
15757434,599.0,1,1,28.0,7.0,119706.22,1,0,0,31190.42,0
15668775,757.0,1,1,47.0,3.0,130747.1,1,1,0,143829.54,0
15658067,636.0,3,2,48.0,3.0,120568.41,1,1,0,190160.04,1
15756272,526.0,3,2,35.0,9.0,118536.4,1,1,0,40980.87,1
15755242,682.0,1,2,46.0,2.0,0.0,1,1,1,114442.66,0
15768777,507.0,2,2,34.0,4.0,0.0,2,1,1,60688.38,0
15596671,603.0,2,2,42.0,8.0,91611.12,1,0,0,144675.3,1
15673074,527.0,3,2,30.0,6.0,126663.51,1,1,1,162267.91,0
15749345,468.0,1,2,22.0,1.0,76318.64,1,1,1,194783.12,0
15574372,738.0,1,1,35.0,5.0,161274.05,2,1,0,181429.87,0
15810829,618.0,1,1,48.0,7.0,0.0,1,1,0,13921.82,1
15723989,646.0,1,1,40.0,5.0,93680.43,2,1,1,179473.26,0
15681410,813.0,3,2,36.0,6.0,98088.09,1,0,1,26687.22,1
15779744,537.0,2,1,30.0,1.0,103138.17,1,1,1,96555.42,0
15573876,473.0,2,1,48.0,8.0,0.0,2,1,0,71139.8,0
15810385,717.0,2,2,36.0,2.0,164557.95,1,0,1,82336.73,0
15646566,763.0,1,2,58.0,9.0,187911.55,1,0,1,35825.18,0
15643828,592.0,1,1,29.0,7.0,0.0,2,1,1,91196.67,0
15615004,730.0,1,2,37.0,1.0,0.0,2,1,1,124364.63,0
15693018,678.0,3,1,23.0,10.0,115563.71,1,1,1,91633.53,0
15728480,452.0,1,2,35.0,8.0,0.0,2,1,1,149614.81,0
15806284,739.0,2,1,31.0,1.0,0.0,2,1,1,58469.75,0
15811486,634.0,3,2,29.0,8.0,130036.21,2,0,1,69849.55,0
15801548,661.0,1,2,31.0,7.0,144162.3,2,1,1,14490.79,0
15589224,596.0,2,1,41.0,5.0,0.0,2,0,1,141053.85,0
15677336,557.0,3,1,57.0,1.0,120043.13,1,1,0,132370.75,1
15691906,664.0,3,2,49.0,5.0,127421.78,2,1,0,108876.75,1
15661036,725.0,1,1,46.0,6.0,0.0,2,1,0,161767.38,0
15692406,427.0,1,1,37.0,5.0,0.0,2,1,1,121485.1,0
15586880,594.0,3,1,41.0,2.0,122545.65,2,1,1,42050.24,0
15767793,819.0,1,2,38.0,10.0,0.0,2,1,0,30498.7,0
15759274,447.0,1,2,32.0,10.0,0.0,1,1,1,151815.76,0
15612139,786.0,1,2,33.0,0.0,83036.05,1,0,1,154990.58,1
15798053,707.0,2,1,32.0,9.0,0.0,2,1,0,126475.79,0
15573599,506.0,1,2,57.0,6.0,0.0,2,0,1,194421.12,1
15774127,518.0,1,1,46.0,3.0,0.0,2,1,0,76515.79,0
15655274,548.0,1,2,29.0,4.0,0.0,2,0,1,48673.18,0
15771750,655.0,3,2,36.0,10.0,122314.39,1,1,0,9181.66,0
15570087,664.0,1,2,44.0,8.0,142989.69,1,1,1,115452.51,1
15617078,658.0,1,2,44.0,6.0,148481.09,1,1,0,130529.13,0
15783083,534.0,1,1,27.0,9.0,0.0,2,1,0,161344.13,0
15785819,681.0,1,1,38.0,3.0,0.0,2,1,1,112491.96,0
15617934,579.0,1,1,36.0,9.0,129829.59,1,1,1,60906.12,0
15567446,646.0,3,1,39.0,9.0,111574.41,1,1,1,30838.51,0
15722053,576.0,2,1,33.0,3.0,0.0,2,0,1,190112.05,0
15736112,519.0,2,2,57.0,2.0,119035.35,2,1,1,29871.79,0
15681755,605.0,1,2,32.0,5.0,0.0,2,1,1,42135.28,0
15642997,655.0,1,2,36.0,2.0,147149.59,1,1,1,87816.86,0
